ID;PID;Game;Study;Game_group;Condition;Condition_params;Resolution;Framerate;Bitrate;VQ;VF;VU;VD;AC;Age;Gender;Expertise;Monitor
134;2;Game1;1;Game1_Game2_Game3;62;1080_60_2000;1080;60;2000;4,6;1,9;6,2;6,2;1;20;Female;1;Desktop
135;2;Game3;1;Game1_Game2_Game3;63;1080_60_2000;1080;60;2000;3,6;2,4;5,1;3,6;0;20;Female;1;Desktop
136;2;Game3;1;Game1_Game2_Game3;64;1080_60_4000;1080;60;4000;4,3;3,8;3,8;5,7;1;20;Female;1;Desktop
137;2;Game1;1;Game1_Game2_Game3;65;1080_60_4000;1080;60;4000;4,7;3,9;5,6;6,2;1;20;Female;1;Desktop
138;2;Game2;1;Game1_Game2_Game3;66;1080_60_4000;1080;60;4000;5,7;3,9;5,8;6,2;1;20;Female;1;Desktop
139;2;Game3;1;Game1_Game2_Game3;67;1080_60_6000;1080;60;6000;4,2;3,6;5,2;6;1;20;Female;1;Desktop
140;2;Game2;1;Game1_Game2_Game3;68;1080_60_6000;1080;60;6000;5,1;5,9;5;4,6;1;20;Female;1;Desktop
141;2;Game1;1;Game1_Game2_Game3;69;1080_60_6000;1080;60;6000;5,7;6,5;4,1;6,3;1;20;Female;1;Desktop
142;2;Game3;1;Game1_Game2_Game3;70;1080_60_50000;1080;60;50000;5,6;6,4;6,4;4,1;1;20;Female;1;Desktop
143;2;Game2;1;Game1_Game2_Game3;71;1080_60_50000;1080;60;50000;5;6,3;6,3;3,8;1;20;Female;1;Desktop
144;2;Game1;1;Game1_Game2_Game3;72;1080_60_50000;1080;60;50000;6,1;6,2;6,2;6,2;1;20;Female;1;Desktop
145;3;Game1;1;Game1_Game2_Game3;1;480_30_300;480;30;300;2;3;2;4,8;0;22;Female;1;smallPhone
146;3;Game2;1;Game1_Game2_Game3;2;480_30_300;480;30;300;2,6;2,6;2,4;4,7;0;22;Female;1;smallPhone
147;3;Game3;1;Game1_Game2_Game3;3;480_30_300;480;30;300;2,6;3;2;5;0;22;Female;1;smallPhone
148;3;Game2;1;Game1_Game2_Game3;4;480_30_1000;480;30;1000;3,1;3,3;2,3;5,2;0;22;Female;1;smallPhone
149;3;Game3;1;Game1_Game2_Game3;5;480_30_1000;480;30;1000;3,4;4,5;3,2;4,8;0;22;Female;1;smallPhone
150;3;Game1;1;Game1_Game2_Game3;6;480_30_1000;480;30;1000;3,1;3,2;2,8;4,5;0;22;Female;1;smallPhone
151;3;Game3;1;Game1_Game2_Game3;7;480_30_2000;480;30;2000;3,4;5,4;3;5,1;1;22;Female;1;smallPhone
152;3;Game1;1;Game1_Game2_Game3;8;480_30_2000;480;30;2000;3,4;4,4;2,7;4,6;0;22;Female;1;smallPhone
153;3;Game2;1;Game1_Game2_Game3;9;480_30_2000;480;30;2000;3,8;3,5;2,9;3,2;0;22;Female;1;smallPhone
154;3;Game3;1;Game1_Game2_Game3;10;480_30_6000;480;30;6000;3,4;3,6;3,6;4,4;0;22;Female;1;smallPhone
155;3;Game2;1;Game1_Game2_Game3;11;480_30_6000;480;30;6000;4,4;4,7;3,1;3,5;1;22;Female;1;smallPhone
156;3;Game1;1;Game1_Game2_Game3;12;480_30_6000;480;30;6000;3,6;4,4;2,7;4,4;0;22;Female;1;smallPhone
157;3;Game2;1;Game1_Game2_Game3;13;480_60_300;480;60;300;2;2;3;4,9;0;22;Female;1;smallPhone
158;3;Game3;1;Game1_Game2_Game3;14;480_60_300;480;60;300;1,9;2;2;5;0;22;Female;1;smallPhone
159;3;Game1;1;Game1_Game2_Game3;15;480_60_300;480;60;300;1,7;1,5;1,6;4,5;0;22;Female;1;smallPhone
160;3;Game2;1;Game1_Game2_Game3;16;480_60_1000;480;60;1000;2;-0,1;2;3,5;0;22;Female;1;smallPhone
161;3;Game1;1;Game1_Game2_Game3;17;480_60_1000;480;60;1000;3,1;3,8;2,7;4,6;0;22;Female;1;smallPhone
162;3;Game3;1;Game1_Game2_Game3;18;480_60_1000;480;60;1000;3,2;3,8;2,8;5;0;22;Female;1;smallPhone
163;3;Game1;1;Game1_Game2_Game3;19;480_60_2000;480;60;2000;3;3,8;2,4;5;0;22;Female;1;smallPhone
